c1x c1z c2x c2z c3x c3z c4x c4z c5x c5z c6x c6z c7x c7z c8x c8z X Z vX vZ
0.157500 -0.058000 0.350000 -0.058000 0.157500 -0.362000 0.350000 -0.362000 -0.350000 -0.058000 -0.157500 -0.058000 -0.350000 -0.362000 -0.157500 -0.362000 0.000000 -0.210000 -0.000000 -0.005862
0.157500 -0.057995 0.350000 -0.057995 0.157500 -0.361995 0.350000 -0.361995 -0.350000 -0.057995 -0.157500 -0.057995 -0.350000 -0.361995 -0.157500 -0.361995 0.000000 -0.209995 0.000000 -0.005887
0.158041 -0.057853 0.350541 -0.058010 0.157794 -0.361853 0.350294 -0.362010 -0.350551 -0.058032 -0.158051 -0.057858 -0.350277 -0.362031 -0.157777 -0.361858 -0.000001 -0.159299 -0.000007 -0.007477
0.157518 -0.057969 0.350017 -0.057499 0.158260 -0.361968 0.350759 -0.361498 -0.350019 -0.057524 -0.157520 -0.057990 -0.350756 -0.361523 -0.158256 -0.361990 0.000001 -0.260334 0.000007 -0.008196
0.154976 -0.057998 0.347468 -0.056234 0.157761 -0.361985 0.350253 -0.360222 -0.347464 -0.056312 -0.154972 -0.058083 -0.350260 -0.360300 -0.157769 -0.362071 -0.000002 -0.259521 0.000008 -0.010287
0.154975 -0.057998 0.347467 -0.056234 0.157762 -0.361985 0.350254 -0.360221 -0.347463 -0.056312 -0.154971 -0.058084 -0.350262 -0.360299 -0.157770 -0.362071 -0.000002 -0.259520 -0.000039 -0.016429
0.154974 -0.057999 0.347466 -0.056232 0.157763 -0.361986 0.350255 -0.360219 -0.347461 -0.056309 -0.154969 -0.058084 -0.350263 -0.360296 -0.157772 -0.362071 -0.000002 -0.259519 -0.000045 -0.019769
0.154971 -0.058000 0.347462 -0.056230 0.157767 -0.361987 0.350259 -0.360217 -0.347457 -0.056306 -0.154966 -0.058085 -0.350267 -0.360293 -0.157775 -0.362072 -0.000002 -0.259518 -0.000093 -0.028044
0.154967 -0.058002 0.347459 -0.056227 0.157770 -0.361989 0.350262 -0.360214 -0.347454 -0.056303 -0.154962 -0.058086 -0.350270 -0.360290 -0.157778 -0.362073 -0.000002 -0.259516 -0.000011 -0.042223
0.154962 -0.058004 0.347454 -0.056223 0.157775 -0.361991 0.350267 -0.360210 -0.347448 -0.056298 -0.154957 -0.058089 -0.350276 -0.360285 -0.157784 -0.362076 -0.000002 -0.259514 -0.000057 -0.053037
0.154958 -0.058006 0.347449 -0.056219 0.157780 -0.361993 0.350272 -0.360206 -0.347443 -0.056293 -0.154951 -0.058091 -0.350281 -0.360280 -0.157789 -0.362078 -0.000002 -0.259512 0.000035 -0.070392
0.154952 -0.058010 0.347443 -0.056215 0.157786 -0.361997 0.350278 -0.360202 -0.347435 -0.056288 -0.154944 -0.058095 -0.350288 -0.360274 -0.157797 -0.362081 -0.000002 -0.259509 -0.000009 -0.082048
0.154946 -0.058012 0.347438 -0.056211 0.157792 -0.361999 0.350283 -0.360197 -0.347428 -0.056282 -0.154937 -0.058097 -0.350295 -0.360269 -0.157804 -0.362084 -0.000002 -0.259507 0.000101 -0.100773
0.154940 -0.058017 0.347431 -0.056206 0.157798 -0.362003 0.350290 -0.360193 -0.347420 -0.056276 -0.154928 -0.058102 -0.350303 -0.360262 -0.157812 -0.362088 -0.000003 -0.259505 0.000056 -0.111464
0.154935 -0.058019 0.347426 -0.056202 0.157804 -0.362006 0.350295 -0.360189 -0.347412 -0.056270 -0.154921 -0.058105 -0.350311 -0.360256 -0.157819 -0.362092 -0.000003 -0.259502 0.000149 -0.128639
