Time X Y Z
0.100000 -0.000000 2.036861 -0.005862
0.014804 0.000000 2.034139 -0.005862
0.015047 0.000000 2.034139 -0.005862
0.016254 -0.000000 2.028694 -0.005862
0.015335 0.000000 2.020528 -0.005862
0.014250 -0.000000 2.009639 -0.005862
0.016250 0.000000 1.996028 -0.005862
0.015978 -0.000000 1.979694 -0.005862
0.014867 0.000000 1.960639 -0.005862
0.014499 0.000000 1.938861 -0.005862
0.015310 0.000000 1.914361 -0.005862
0.016212 0.000000 1.887139 -0.005862
0.014972 0.000000 1.857194 -0.005862
0.015367 0.000000 1.824528 -0.005862
0.014742 0.000000 1.824528 -0.005862
0.015200 0.000000 1.789139 -0.005862
0.015904 0.000000 1.751028 -0.005862
0.016727 0.000000 1.710194 -0.005862
0.016656 0.000000 1.666639 -0.005862
0.015308 0.000000 1.620361 -0.005862
0.013968 0.000000 1.571361 -0.005862
0.014518 0.000000 1.519639 -0.005862
0.014340 0.000000 1.465194 -0.005862
0.016026 0.000000 1.408028 -0.005862
0.016076 0.000000 1.348139 -0.005862
0.015605 0.000000 1.285528 -0.005862
0.016133 -0.000024 1.241513 -0.005489
0.014995 -0.000123 1.213320 -0.004498
0.016150 -0.000123 1.213320 -0.004498
0.015754 -0.001959 1.193915 -0.002818
0.015860 -0.003737 1.182730 0.000837
0.015535 -0.006931 1.177768 0.005032
0.016685 -0.010472 1.178887 0.009343
0.016086 -0.014430 1.182784 0.013726
0.017717 -0.018927 1.190400 0.019010
0.015296 -0.024319 1.197178 0.024033
0.014115 -0.029930 1.205709 0.030207
0.015188 -0.035421 1.211635 0.036692
0.015689 -0.040990 1.217484 0.043041
0.016027 -0.046583 1.220686 0.049632
0.015400 -0.052078 1.222576 0.055745
0.015286 -0.057361 1.222114 0.061276
0.015369 -0.062420 1.220241 0.067151
0.016183 -0.067489 1.215927 0.072790
0.016093 -0.072599 1.210635 0.078665
0.017596 -0.077733 1.202855 0.084237
0.016523 -0.083175 1.194618 0.090111
0.017432 -0.088671 1.184056 0.095551
0.015686 -0.094128 1.173022 0.101534
0.017812 -0.099469 1.159568 0.107287
0.016242 -0.104656 1.144940 0.113150
0.016517 -0.110096 1.128478 0.118613
0.014936 -0.115143 1.110845 0.124552
0.015688 -0.115143 1.110845 0.124552
0.015269 -0.120456 1.091635 0.130494
0.015830 -0.125508 1.070635 0.136444
0.013877 -0.130989 1.048121 0.142119
0.015036 -0.135640 1.024556 0.148621
0.016492 -0.140324 1.000237 0.156207
0.017085 -0.144477 0.973488 0.163267
0.016376 -0.149131 0.946382 0.170704
0.017688 -0.152799 0.918645 0.178934
0.016337 -0.156072 0.890802 0.188572
0.019872 -0.159635 0.860850 0.197066
0.016881 -0.162961 0.828398 0.204391
0.017672 -0.165512 0.795253 0.211681
0.017758 -0.168018 0.761457 0.219202
0.016586 -0.170644 0.725881 0.226250
0.016247 -0.172892 0.690789 0.234325
0.016005 -0.175231 0.654884 0.243128
0.016574 -0.177365 0.618783 0.252268
0.016202 -0.179171 0.582656 0.261596
0.015405 -0.180807 0.548494 0.271292
0.015698 -0.183584 0.517528 0.281108
0.017176 -0.186900 0.504149 0.290124
0.015110 -0.188894 0.497354 0.298999
0.015409 -0.190490 0.493282 0.307455
0.016329 -0.191466 0.492472 0.316824
0.016812 -0.193245 0.491894 0.324453
0.018712 -0.194696 0.492513 0.333392
0.016562 -0.197023 0.492274 0.340623
0.016776 -0.199130 0.492950 0.348532
0.015986 -0.200741 0.492353 0.355067
0.014843 -0.201911 0.492394 0.363500
0.015555 -0.202342 0.490869 0.370938
0.014618 -0.202374 0.488240 0.379058
0.015885 -0.201523 0.486707 0.384537
0.016737 -0.200264 0.484927 0.391003
0.016351 -0.200542 0.483928 0.395813
0.017074 -0.200518 0.483004 0.403078
0.015253 -0.200008 0.481311 0.407593
0.016175 -0.197224 0.478329 0.412884
0.017073 -0.194862 0.474125 0.417306
0.016898 -0.192232 0.469143 0.422194
0.015774 -0.190644 0.463319 0.426720
0.015519 -0.188784 0.457139 0.431263
0.016711 -0.186479 0.451781 0.435669
0.015041 -0.184939 0.447420 0.439093
0.015219 -0.184939 0.447420 0.439093
0.016404 -0.183728 0.442853 0.443538
0.015108 -0.183589 0.439045 0.447245
0.015962 -0.183717 0.435168 0.451554
0.015129 -0.185209 0.432656 0.456249
0.015984 -0.188142 0.430533 0.459989
0.017824 -0.190834 0.429970 0.464533
0.015738 -0.192799 0.428993 0.466197
0.016486 -0.196012 0.428627 0.471762
0.018867 -0.199234 0.427364 0.471799
0.016488 -0.199458 0.425900 0.472302
0.016044 -0.199536 0.423338 0.472562
0.017006 -0.199008 0.420246 0.473339
0.019229 -0.198114 0.415702 0.474639
0.015640 -0.196861 0.410334 0.476263
0.015699 -0.195685 0.404289 0.478395
