q torque X Z vX vZ pasEffectue 
0.000000 0.000000 0.000000 -0.002931 0.000000 -0.002931 0
0.000000 0.000000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 6.480000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 6.480000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 6.480000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 6.480000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 6.480000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 6.480000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 6.480000 -0.000083 -0.003737 -0.005067 -0.052103 0
0.020000 6.480000 -0.000083 -0.003737 -0.005067 -0.052103 0
0.025845 1542.487580 -0.000083 -0.003737 -0.005118 -0.052592 0
0.025845 1542.487580 -0.000083 -0.003737 -0.005118 -0.052592 0
0.025845 1542.487580 -0.000083 -0.003737 -0.005118 -0.052592 0
0.025845 1542.487580 -0.000083 -0.003737 -0.005118 -0.052592 0
0.025845 1542.487580 -0.000106 -0.004731 -0.001465 -0.064376 0
0.025845 1542.487580 -0.000106 -0.004731 -0.001465 -0.064376 0
0.030835 2707.490025 -0.000106 -0.004731 -0.001428 -0.064485 0
0.030835 2707.490025 -0.000106 -0.004731 -0.001428 -0.064485 0
0.030835 2707.490025 -0.000106 -0.004731 -0.001428 -0.064485 0
0.030835 2707.490025 -0.000106 -0.004731 -0.001428 -0.064485 0
0.030835 2707.490025 -0.000106 -0.004731 -0.001428 -0.064485 0
0.030835 2707.490025 -0.000106 -0.004731 -0.001428 -0.064485 0
0.030835 2707.490025 -0.000077 -0.005791 0.001634 -0.069350 0
0.030835 2707.490025 -0.000077 -0.005791 0.001634 -0.069350 0
0.030734 1683.250612 -0.000077 -0.005791 0.001664 -0.069389 0
0.030734 1683.250612 -0.000077 -0.005791 0.001664 -0.069389 0
0.030734 1683.250612 -0.000077 -0.005791 0.001664 -0.069389 0
0.030734 1683.250612 -0.000077 -0.005791 0.001664 -0.069389 0
