qdot q torque X Z vX vZ pasEffectue 
0.000000 0.000000 0.000000 -0.000000 -0.005862 -0.000000 -0.005862 0
0.000000 -0.000000 0.000000 0.000000 -0.005862 0.000000 -0.005862 0
0.000000 -0.000000 -0.061502 0.000003 -0.005863 0.000172 -0.005888 0
0.033989 -0.000567 -0.017385 0.000008 -0.005863 0.000314 -0.005873 0
-0.006797 -0.000453 0.053575 -0.000058 -0.005863 -0.003987 -0.005865 0
-0.005435 -0.000363 0.111458 -0.000134 -0.005863 -0.004689 -0.005833 0
-0.004345 -0.000290 0.167995 -0.000147 -0.005860 -0.000933 -0.005700 0
-0.003477 -0.000232 -0.052828 -0.000184 -0.005858 -0.002425 -0.005739 0
0.002758 -0.000278 -0.001699 -0.000065 -0.005855 0.007060 -0.005689 0
0.225257 -0.004037 -0.064865 -0.000260 -0.005851 -0.011945 -0.005614 0
-0.048384 -0.003230 -0.001573 -0.000162 -0.005847 0.005732 -0.005600 0
-0.009394 -0.003073 -0.016875 -0.000331 -0.005843 -0.010508 -0.005604 0
0.187371 -0.006200 -0.105080 -0.000201 -0.005839 0.007636 -0.005606 0
-0.074292 -0.004960 -0.016019 -0.000343 -0.005836 -0.008879 -0.005626 0
0.193108 -0.008183 -0.125608 -0.000189 -0.005832 0.009025 -0.005640 0
-0.098055 -0.006546 -0.022936 -0.000307 -0.005830 -0.007355 -0.005668 0
0.162753 -0.009262 -0.125224 -0.000139 -0.005827 0.009938 -0.005691 0
-0.111001 -0.007410 -0.025421 -0.000236 -0.005826 -0.006049 -0.005720 0
0.138365 -0.009719 -0.120487 -0.000061 -0.005824 0.010403 -0.005745 0
-0.116485 -0.007775 -0.025414 -0.000143 -0.005824 -0.005033 -0.005774 0
0.109207 -0.009597 -0.109150 0.000031 -0.005823 0.010481 -0.005797 0
-0.115042 -0.007678 -0.023685 -0.000040 -0.005823 -0.004307 -0.005822 0
0.079282 -0.009001 -0.093791 0.000129 -0.005823 0.010249 -0.005842 0
-0.107902 -0.007201 -0.020884 0.000064 -0.005824 -0.003833 -0.005862 0
0.052641 -0.008079 -0.077145 0.000223 -0.005825 0.009792 -0.005876 0
-0.096861 -0.006463 -0.017579 0.000161 -0.005826 -0.003551 -0.005891 0
0.030996 -0.006980 -0.061030 0.000309 -0.005827 0.009193 -0.005901 0
-0.083697 -0.005584 -0.014205 0.000249 -0.005829 -0.003397 -0.005910 0
0.014622 -0.005828 -0.046510 0.000384 -0.005830 0.008526 -0.005915 0
-0.069889 -0.004662 -0.011052 0.000324 -0.005831 -0.003314 -0.005920 0
0.003198 -0.004716 -0.034168 0.000447 -0.005833 0.007850 -0.005921 0
-0.056556 -0.003773 -0.008292 0.000386 -0.005834 -0.003256 -0.005923 0
-0.003882 -0.003708 -0.024245 0.000498 -0.005836 0.007206 -0.005921 0
-0.044473 -0.002966 -0.006009 0.000438 -0.005837 -0.003191 -0.005919 0
-0.007414 -0.002843 -0.016714 0.000539 -0.005838 0.006619 -0.005915 0
-0.034098 -0.002274 -0.004219 0.000479 -0.005840 -0.003102 -0.005912 0
