q torque X Z vX vZ pasEffectue 
0.000000 0.000000 -0.000000 -0.005862 -0.000000 -0.005862 0
0.020000 2.000000 -0.000000 -0.005862 -0.000000 -0.005862 0
0.020000 2.000000 -0.000000 -0.005862 -0.000000 -0.005862 0
0.020000 2.000000 -0.000000 -0.005862 -0.000000 -0.005862 0
0.020000 2.000000 0.000000 -0.005862 0.000006 -0.005862 0
0.016261 3584.786943 0.000000 -0.005862 0.000006 -0.005862 0
0.016261 3584.786943 0.000000 -0.005862 0.000006 -0.005862 0
0.016261 3584.786943 0.000004 -0.005863 0.000215 -0.005913 0
0.015996 5418.940804 0.000004 -0.005863 0.000215 -0.005913 0
0.015996 5418.940804 0.000004 -0.005863 0.000215 -0.005913 0
0.015996 5418.940804 0.000004 -0.005863 0.000215 -0.005913 0
0.015996 5418.940804 0.000011 -0.005864 0.000450 -0.005910 0
0.017627 7256.943943 0.000011 -0.005864 0.000450 -0.005910 0
0.017627 7256.943943 0.000011 -0.005864 0.000450 -0.005910 0
0.017627 7256.943943 0.000018 -0.005864 0.000432 -0.005840 0
0.020040 8891.996671 0.000018 -0.005864 0.000432 -0.005840 0
0.020040 8891.996671 0.000018 -0.005864 0.000432 -0.005840 0
0.020040 8891.996671 0.000052 -0.005861 0.002087 -0.005732 0
0.022790 10634.156100 0.000052 -0.005861 0.002087 -0.005732 0
0.022790 10634.156100 0.000052 -0.005861 0.002087 -0.005732 0
0.022790 10634.156100 0.000052 -0.005861 0.002087 -0.005732 0
0.022790 10634.156100 0.000065 -0.005858 0.000865 -0.005651 0
0.025709 11726.448432 0.000065 -0.005858 0.000865 -0.005651 0
0.025709 11726.448432 0.000065 -0.005858 0.000865 -0.005651 0
0.025709 11726.448432 0.000080 -0.005853 0.000975 -0.005524 0
0.028472 12786.021646 0.000080 -0.005853 0.000975 -0.005524 0
0.028472 12786.021646 0.000080 -0.005853 0.000975 -0.005524 0
0.028472 12786.021646 0.000096 -0.005848 0.001083 -0.005547 0
0.030996 13652.708114 0.000096 -0.005848 0.001083 -0.005547 0
0.030996 13652.708114 0.000096 -0.005848 0.001083 -0.005547 0
0.030996 13652.708114 0.000096 -0.005848 0.001083 -0.005547 0
0.030996 13652.708114 0.000107 -0.005845 0.000710 -0.005672 0
0.033261 14356.845311 0.000107 -0.005845 0.000710 -0.005672 0
0.033261 14356.845311 0.000107 -0.005845 0.000710 -0.005672 0
0.033261 14356.845311 0.000116 -0.005840 0.000656 -0.005574 0
0.035285 14941.227645 0.000116 -0.005840 0.000656 -0.005574 0
0.035285 14941.227645 0.000116 -0.005840 0.000656 -0.005574 0
0.035285 14941.227645 0.000121 -0.005837 0.000461 -0.005617 0
0.037075 15416.162729 0.000121 -0.005837 0.000461 -0.005617 0
0.037075 15416.162729 0.000121 -0.005837 0.000461 -0.005617 0
0.037075 15416.162729 0.000121 -0.005837 0.000461 -0.005617 0
0.037075 15416.162729 0.000123 -0.005833 0.000260 -0.005627 0
0.038646 15811.798165 0.000123 -0.005833 0.000260 -0.005627 0
0.038646 15811.798165 0.000123 -0.005833 0.000260 -0.005627 0
0.038646 15811.798165 0.000120 -0.005830 -0.000108 -0.005648 0
0.035611 16147.312850 0.000120 -0.005830 -0.000108 -0.005648 0
0.035611 16147.312850 0.000120 -0.005830 -0.000108 -0.005648 0
0.035611 16147.312850 0.000113 -0.005828 -0.000262 -0.005682 0
0.033656 16453.587301 0.000113 -0.005828 -0.000262 -0.005682 0
0.033656 16453.587301 0.000113 -0.005828 -0.000262 -0.005682 0
0.033656 16453.587301 0.000113 -0.005828 -0.000262 -0.005682 0
0.033656 16453.587301 0.000105 -0.005826 -0.000388 -0.005715 0
0.032711 16755.440251 0.000105 -0.005826 -0.000388 -0.005715 0
0.032711 16755.440251 0.000105 -0.005826 -0.000388 -0.005715 0
0.032711 16755.440251 0.000096 -0.005825 -0.000484 -0.005751 0
0.032700 17082.900788 0.000096 -0.005825 -0.000484 -0.005751 0
0.032700 17082.900788 0.000096 -0.005825 -0.000484 -0.005751 0
0.032700 17082.900788 0.000085 -0.005824 -0.000551 -0.005786 0
0.033552 17476.882845 0.000085 -0.005824 -0.000551 -0.005786 0
0.033552 17476.882845 0.000085 -0.005824 -0.000551 -0.005786 0
0.033552 17476.882845 0.000085 -0.005824 -0.000551 -0.005786 0
0.033552 17476.882845 0.000074 -0.005825 -0.000586 -0.005882 0
0.035187 17965.925440 0.000074 -0.005825 -0.000586 -0.005882 0
0.035187 17965.925440 0.000074 -0.005825 -0.000586 -0.005882 0
0.035187 17965.925440 0.000063 -0.005838 -0.000579 -0.006651 0
0.037503 18384.818348 0.000063 -0.005838 -0.000579 -0.006651 0
0.037503 18384.818348 0.000063 -0.005838 -0.000579 -0.006651 0
0.037503 18384.818348 0.000053 -0.005858 -0.000560 -0.007055 0
0.040416 18554.209129 0.000053 -0.005858 -0.000560 -0.007055 0
0.040416 18554.209129 0.000053 -0.005858 -0.000560 -0.007055 0
0.040416 18554.209129 0.000053 -0.005858 -0.000560 -0.007055 0
0.040416 18554.209129 0.000043 -0.005880 -0.000532 -0.007184 0
0.043897 18657.054137 0.000043 -0.005880 -0.000532 -0.007184 0
0.043897 18657.054137 0.000043 -0.005880 -0.000532 -0.007184 0
0.043897 18657.054137 0.000035 -0.005903 -0.000441 -0.007259 0
0.047761 18586.439620 0.000035 -0.005903 -0.000441 -0.007259 0
0.047761 18586.439620 0.000035 -0.005903 -0.000441 -0.007259 0
0.047761 18586.439620 0.000029 -0.005923 -0.000379 -0.007144 0
0.052060 18532.170887 0.000029 -0.005923 -0.000379 -0.007144 0
0.052060 18532.170887 0.000029 -0.005923 -0.000379 -0.007144 0
