q torque X Z vX vZ pasEffectue 
0.000000 0.000000 0.000000 -0.002931 0.000000 -0.002931 0
0.000000 0.000000 0.000000 -0.002931 0.000000 -0.002931 0
0.000000 0.000000 0.000000 -0.002931 0.000000 -0.002931 0
0.000000 0.000000 0.000000 -0.002931 0.000000 -0.002931 0
0.000000 0.000000 0.000000 -0.002931 0.000000 -0.002931 0
0.000000 0.000000 0.000000 -0.002931 0.000000 -0.002931 0
0.000000 0.000000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 0.000000 -0.002931 0.000000 -0.002931 0
0.020000 5.120000 -0.000087 -0.003737 -0.005330 -0.052090 0
0.020000 5.120000 -0.000087 -0.003737 -0.005330 -0.052090 0
