q torque X Z Y vX vZ pasEffectue 
0.000000 0.000000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 0.000000 0.002931 0.988735 0.000000 -0.002931 0
0.020000 3.380000 -0.000076 0.003714 0.993751 -0.004637 -0.050652 0
0.025684 2681.831858 -0.000076 0.003714 0.993751 -0.004730 -0.051606 0
0.025684 2681.831858 -0.000076 0.003714 0.993751 -0.004730 -0.051606 0
0.025684 2681.831858 -0.000093 0.004822 0.999541 -0.001138 -0.071351 0
0.030716 3475.594245 -0.000093 0.004822 0.999541 -0.001065 -0.071730 0
0.030716 3475.594245 -0.000093 0.004822 0.999541 -0.001065 -0.071730 0
0.030716 3475.594245 -0.000093 0.004822 0.999541 -0.001065 -0.071730 0
0.030716 3475.594245 -0.000070 0.005847 1.008122 0.001349 -0.067351 0
0.032712 2639.867521 -0.000070 0.005847 1.008122 0.001349 -0.067241 0
0.032712 2639.867521 -0.000070 0.005847 1.008122 0.001349 -0.067241 0
0.032712 2639.867521 0.000008 0.006792 1.013520 0.004654 -0.063456 0
0.034665 3301.741541 0.000008 0.006792 1.013520 0.004717 -0.063360 0
0.034665 3301.741541 0.000008 0.006792 1.013520 0.004717 -0.063360 0
0.034665 3301.741541 0.000111 0.007827 1.017462 0.006305 -0.069942 0
0.036170 4186.652501 0.000111 0.007827 1.017462 0.006305 -0.070055 0
0.036170 4186.652501 0.000111 0.007827 1.017462 0.006305 -0.070055 0
0.036170 4186.652501 0.000111 0.007827 1.017462 0.006305 -0.070055 0
0.036170 4186.652501 0.000217 0.008811 1.020763 0.006601 -0.067853 0
0.033630 3528.881287 0.000217 0.008811 1.020763 0.006601 -0.067788 0
0.033630 3528.881287 0.000217 0.008811 1.020763 0.006601 -0.067788 0
0.033630 3528.881287 0.000315 0.009824 1.023317 0.006155 -0.070616 0
0.037509 4497.968900 0.000315 0.009824 1.023317 0.006155 -0.070653 0
0.037509 4497.968900 0.000315 0.009824 1.023317 0.006155 -0.070653 0
0.037509 4497.968900 0.000399 0.010792 1.025517 0.005491 -0.068830 0
0.038225 4096.846560 0.000399 0.010792 1.025517 0.005491 -0.068773 0
0.038225 4096.846560 0.000399 0.010792 1.025517 0.005491 -0.068773 0
0.038225 4096.846560 0.000399 0.010792 1.025517 0.005491 -0.068773 0
0.038225 4096.846560 0.000468 0.011817 1.027196 0.004570 -0.073344 0
0.045326 4609.880989 0.000468 0.011817 1.027196 0.004570 -0.073417 0
0.045326 4609.880989 0.000468 0.011817 1.027196 0.004570 -0.073417 0
0.045326 4609.880989 0.000522 0.012833 1.028692 0.003789 -0.073789 0
0.051392 4246.244987 0.000522 0.012833 1.028692 0.003789 -0.073776 0
0.051392 4246.244987 0.000522 0.012833 1.028692 0.003789 -0.073776 0
0.051392 4246.244987 0.000562 0.013926 1.029790 0.002929 -0.079528 0
0.057786 4537.393653 0.000562 0.013926 1.029790 0.002929 -0.079623 0
0.057786 4537.393653 0.000562 0.013926 1.029790 0.002929 -0.079623 0
0.057786 4537.393653 0.000562 0.013926 1.029790 0.002929 -0.079623 0
0.057786 4537.393653 0.000589 0.015020 1.030840 0.002203 -0.080648 0
0.062698 4164.585796 0.000589 0.015020 1.030840 0.002203 -0.080646 0
0.062698 4164.585796 0.000589 0.015020 1.030840 0.002203 -0.080646 0
0.062698 4164.585796 0.000605 0.016188 1.031575 0.001586 -0.086231 0
0.064450 4391.208661 0.000605 0.016188 1.031575 0.001586 -0.086321 0
