q0 qdot0 tau0 q1 qdot1 tau1 q2 qdot2 tau2 q3 qdot3 tau3 q4 qdot4 tau4 q5 qdot5 tau5 q6 qdot6 tau6 q7 qdot7 tau7 q8 qdot8 tau8 q9 qdot9 tau9 q10 qdot10 tau10 q11 qdot11 tau11 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0.925817 0.0193984 1.24981 -7.85454 0 0 0 0 0 0 0.575563 0 11.1963 0.570349 0 8.94522 0 0 0 0.766086 0 0.244469 -1.8201 0 -37.7629 -0.778036 0 -10.6309 0 0 0 1.83205 0 0.57176 
0 0 0.874444 0.0193984 1.24981 -7.78643 0 0 0 0 0 0 0.575563 0 11.2069 0.570349 0 9.18917 0 0 0 0.766086 0 0.244469 -1.8201 0 -37.3802 -0.778036 0 -10.488 0 0 0 1.83205 0 0.57176 
0 0 0.874444 0.0193984 1.24981 -7.78643 0 0 0 0 0 0 0.575563 0 11.2069 0.570349 0 9.18917 0 0 0 0.766086 0 0.244469 -1.8201 0 -37.3802 -0.778036 0 -10.488 0 0 0 1.83205 0 0.57176 
0 0 1.64551 5.43813 3.13356 42.1681 0 0 0 0 0 0 -0.651865 0 -5.79099 -0.645492 0 -10.3601 0 0 0 0.673353 0 0.219622 -2.48812 0 -22.5768 -0.69876 0 7.1081 0 0 0 2.5135 0 0.781587 
0 0 1.58195 5.43813 3.13356 42.2316 0 0 0 0 0 0 -0.651865 0 -5.84377 -0.645492 0 -10.17 0 0 0 0.673353 0 0.219622 -2.48812 0 -22.3071 -0.69876 0 7.12302 0 0 0 2.5135 0 0.781587 
0 0 1.58195 5.43813 3.13356 42.2316 0 0 0 0 0 0 -0.651865 0 -5.84377 -0.645492 0 -10.17 0 0 0 0.673353 0 0.219622 -2.48812 0 -22.3071 -0.69876 0 7.12302 0 0 0 2.5135 0 0.781587 
0 0 1.58195 5.43813 3.13356 42.2316 0 0 0 0 0 0 -0.651865 0 -5.84377 -0.645492 0 -10.17 0 0 0 0.673353 0 0.219622 -2.48812 0 -22.3071 -0.69876 0 7.12302 0 0 0 2.5135 0 0.781587 
0 0 2.2864 3.78341 4.8879 -16.4722 0 0 0 0 0 0 -2.09767 0 -13.8455 -2.04876 0 -20.3998 0 0 0 0.420013 0 0.143116 -2.83929 0 -21.19 -0.45509 0 12.3196 0 0 0 2.87432 0 0.891896 
0 0 2.21582 3.78341 4.8879 -16.4182 0 0 0 0 0 0 -2.09767 0 -13.9463 -2.04876 0 -20.2669 0 0 0 0.420013 0 0.143116 -2.83929 0 -21.0352 -0.45509 0 12.2252 0 0 0 2.87432 0 0.891896 
0 0 2.21582 3.78341 4.8879 -16.4182 0 0 0 0 0 0 -2.09767 0 -13.9463 -2.04876 0 -20.2669 0 0 0 0.420013 0 0.143116 -2.83929 0 -21.0352 -0.45509 0 12.2252 0 0 0 2.87432 0 0.891896 
0 0 -1.2983 7.7642 6.18428 32.1724 0 0 0 0 0 0 -3.12387 0 -21.6925 -3.11729 0 -17.9256 0 0 0 0.160564 0 0.0640034 -3.06725 0 -14.9118 -0.203147 0 8.00998 0 0 0 3.10916 0 0.963517 
0 0 -1.25915 7.7642 6.18428 32.1368 0 0 0 0 0 0 -3.12387 0 -21.6639 -3.11729 0 -18.0355 0 0 0 0.160564 0 0.0640034 -3.06725 0 -15.0648 -0.203147 0 8.0066 0 0 0 3.10916 0 0.963517 
0 0 -1.25915 7.7642 6.18428 32.1368 0 0 0 0 0 0 -3.12387 0 -21.6639 -3.11729 0 -18.0355 0 0 0 0.160564 0 0.0640034 -3.06725 0 -15.0648 -0.203147 0 8.0066 0 0 0 3.10916 0 0.963517 
0 0 -0.0837657 4.28931 6.97586 -34.4616 0 0 0 0 0 0 -3.84488 0 -21.6821 -3.6138 0 -18.8771 0 0 0 0.00144106 0 0.0163136 -3.36229 0 -21.4799 -0.0512094 0 8.77258 0 0 0 3.41296 0 1.05619 
0 0 -0.082372 4.28931 6.97586 -34.4647 0 0 0 0 0 0 -3.84488 0 -21.6882 -3.6138 0 -18.8914 0 0 0 0.00144106 0 0.0163136 -3.36229 0 -21.5048 -0.0512094 0 8.75658 0 0 0 3.41296 0 1.05619 
0 0 -0.082372 4.28931 6.97586 -34.4647 0 0 0 0 0 0 -3.84488 0 -21.6882 -3.6138 0 -18.8914 0 0 0 0.00144106 0 0.0163136 -3.36229 0 -21.5048 -0.0512094 0 8.75658 0 0 0 3.41296 0 1.05619 
0 0 -0.082372 4.28931 6.97586 -34.4647 0 0 0 0 0 0 -3.84488 0 -21.6882 -3.6138 0 -18.8914 0 0 0 0.00144106 0 0.0163136 -3.36229 0 -21.5048 -0.0512094 0 8.75658 0 0 0 3.41296 0 1.05619 
0 0 -0.145261 8.07066 7.56065 24.7758 0 0 0 0 0 0 -3.59477 0 -13.8621 -3.98337 0 -20.0173 0 0 0 0.0442217 0 0.0334888 -3.57753 0 -22.0018 -0.105611 0 5.06065 0 0 0 3.63508 0 1.12381 
0 0 -0.144936 8.07066 7.56065 24.7743 0 0 0 0 0 0 -3.59477 0 -13.8665 -3.98337 0 -20.025 0 0 0 0.0442217 0 0.0334888 -3.57753 0 -22.016 -0.105611 0 5.05014 0 0 0 3.63508 0 1.12381 
0 0 -0.144936 8.07066 7.56065 24.7743 0 0 0 0 0 0 -3.59477 0 -13.8665 -3.98337 0 -20.025 0 0 0 0.0442217 0 0.0334888 -3.57753 0 -22.016 -0.105611 0 5.05014 0 0 0 3.63508 0 1.12381 
0 0 -0.0898642 4.13591 7.85547 -43.9442 0 0 0 0 0 0 -4.5853 0 -27.0874 -4.04767 0 -17.9832 0 0 0 -0.247853 0 -0.0587586 -3.80804 0 -23.8428 0.187962 0 12.5651 0 0 0 3.87341 0 1.19621 
0 0 -0.0903679 4.13591 7.85547 -43.9424 0 0 0 0 0 0 -4.5853 0 -27.0829 -4.04767 0 -17.9747 0 0 0 -0.247853 0 -0.0587586 -3.80804 0 -23.8274 0.187962 0 12.5761 0 0 0 3.87341 0 1.19621 
0 0 -0.0903679 4.13591 7.85547 -43.9424 0 0 0 0 0 0 -4.5853 0 -27.0829 -4.04767 0 -17.9747 0 0 0 -0.247853 0 -0.0587586 -3.80804 0 -23.8274 0.187962 0 12.5761 0 0 0 3.87341 0 1.19621 
